timestamp,ask_price,ask_size,bid_price,bid_size,mid
2022-09-21 22:26:00.003684,1230.9,12.0,1230.7,6.0,1230.8
2022-09-21 22:27:00.002030,1230.3,1.818,1230.2,18.0,1230.25
2022-09-21 22:28:00.001998,1232.2,22.833,1232.0,7.48,1232.1
2022-09-21 22:29:00.001981,1230.6,6.0,1230.5,23.565,1230.55
2022-09-21 22:30:00.005877,1232.7,6.0,1232.5,113.48,1232.6
2022-09-21 22:31:00.024240,1234.6,20.975,1234.4,45.19,1234.5
2022-09-21 22:32:00.007879,1234.8,28.216,1234.5,12.0,1234.65
2022-09-21 22:33:00.007430,1233.1,13.692,1232.9,119.676,1233.0
2022-09-21 22:34:00.007416,1232.0,19.0,1231.8,11.935,1231.9
2022-09-21 22:35:00.007424,1233.9,4.48,1233.8,6.929,1233.85
2022-09-21 22:36:00.007409,1236.5,20.606,1236.3,1.475,1236.4
2022-09-21 22:37:00.007453,1235.2,6.0,1234.9,40.373,1235.05
2022-09-21 22:38:00.007416,1235.8,34.091,1235.7,16.994,1235.75
2022-09-21 22:39:00.007418,1235.3,24.268,1235.1,7.458,1235.2
2022-09-21 22:40:00.007448,1234.4,1.224,1234.3,22.377,1234.35
2022-09-21 22:41:00.007429,1232.9,2.018,1232.5,24.0,1232.7
2022-09-21 22:42:00.007423,1233.9,11.462,1233.7,7.576,1233.8
2022-09-21 22:43:00.002414,1234.5,5.935,1234.3,20.714,1234.4
2022-09-21 22:44:00.002415,1236.7,6.305,1236.6,2.012,1236.65
2022-09-21 22:45:00.002410,1233.6,4.149,1233.5,27.494,1233.55
2022-09-21 22:46:00.002409,1235.4,39.45,1235.2,21.46,1235.3
2022-09-21 22:47:00.002430,1235.6,12.654,1235.4,20.015,1235.5
2022-09-21 22:48:00.002426,1236.8,35.067,1236.6,5.795,1236.7
2022-09-21 22:49:00.002407,1236.1,6.719,1236.0,54.0,1236.05
2022-09-21 22:50:00.002429,1235.9,19.411,1235.8,2.0,1235.85
2022-09-21 22:51:00.002412,1235.0,26.938,1234.8,9.858,1234.9
2022-09-21 22:52:00.002432,1236.7,2.676,1236.5,18.0,1236.6
2022-09-21 22:53:00.002408,1235.7,1.502,1235.6,12.719,1235.65
2022-09-21 22:54:00.006096,1237.9,28.481,1237.4,55.222,1237.65
2022-09-21 22:55:00.009795,1238.2,76.0,1238.1,5.158,1238.15
2022-09-21 22:56:00.007557,1238.5,17.479,1238.4,13.188,1238.45
2022-09-21 22:57:00.007517,1241.4,4.0,1241.3,10.552,1241.35
2022-09-21 22:58:00.007510,1242.9,12.145,1242.8,2.017,1242.85
2022-09-21 22:59:00.007504,1243.1,56.0,1242.9,18.232,1243.0
2022-09-21 23:00:00.007517,1243.5,7.927,1243.3,18.0,1243.4
2022-09-21 23:01:00.007508,1242.3,4.028,1242.2,27.495,1242.25
2022-09-21 23:02:00.007502,1241.5,0.146,1241.4,48.0,1241.45
2022-09-21 23:03:00.007512,1240.4,5.256,1240.3,12.0,1240.35
2022-09-21 23:04:00.007531,1241.9,5.756,1241.8,6.0,1241.85
2022-09-21 23:05:00.007524,1242.5,0.154,1242.4,16.174,1242.45
2022-09-21 23:06:00.007526,1242.6,6.21,1242.5,84.041,1242.55
2022-09-21 23:07:00.007509,1245.2,19.361,1245.0,18.0,1245.1
2022-09-21 23:08:00.007504,1245.8,7.557,1245.6,44.0,1245.7
2022-09-21 23:09:00.007506,1245.5,12.0,1245.4,13.899,1245.45
2022-09-21 23:10:00.007506,1245.3,6.719,1245.2,6.0,1245.25
2022-09-21 23:11:00.007502,1240.7,13.985,1240.5,6.0,1240.6
2022-09-21 23:12:00.007503,1240.7,19.935,1240.5,12.0,1240.6
